sdoy,GPP,NEE,ER,NPP,Ra,QC1,QC2,QC3,QC4,QC5,QC6,QC7,QC8,Rh
115,2.6054,-1.423,1.1824,0.1187,1.0706,382.869,380.8303,238.2923,200.3493,299.8544,319.5788,38340.0,23120.0,0.1118
116,3.754,-2.3977,1.3563,0.7767,1.2371,382.6596,380.9073,238.4298,200.9553,299.8496,319.6052,38340.0,23120.0,0.1192
117,5.3038,-3.4396,1.8642,1.5713,1.7083,382.8474,381.0636,238.8827,201.4859,299.8422,319.6742,38340.0,23120.0,0.1559
118,3.8468,-2.086,1.7609,0.9449,1.5918,382.722,381.1574,239.0796,201.9964,299.8338,319.7555,38340.0,23120.0,0.1691
119,2.8667,-1.2678,1.5989,0.9007,1.4449,382.5747,381.2467,239.2563,202.5441,299.8268,319.8156,38340.0,23120.0,0.154
120,4.9364,-2.7508,2.1856,1.5059,1.945,382.7301,381.3965,239.6744,202.9287,299.8143,319.9512,38340.0,23120.0,0.2406
121,5.1878,-2.8458,2.342,1.69,2.0483,382.9771,381.5648,240.1637,203.2142,299.7983,320.135,38340.0,23120.0,0.2937
122,6.2615,-3.3404,2.9211,2.6374,2.5426,383.6973,381.8278,241.0308,203.3238,299.7764,320.415,38340.0,23120.0,0.3785
123,6.007,-3.2648,2.7422,2.3784,2.4438,384.2867,382.0649,241.7928,203.6194,299.7606,320.5847,38340.0,23120.0,0.2983
124,4.6813,-2.4527,2.2286,1.6289,2.0029,384.5009,382.2271,242.2542,204.0575,299.7496,320.6862,38340.0,23120.0,0.2257
125,6.1479,-3.5249,2.623,2.2845,2.3379,385.0423,382.4548,242.978,204.3691,299.7344,320.8583,38340.0,23120.0,0.285
126,5.3257,-2.5018,2.8239,2.3422,2.5106,385.6117,382.6883,243.7246,204.6446,299.718,321.0338,38340.0,23120.0,0.3133
127,5.3156,-2.3926,2.923,2.3729,2.5254,386.1956,382.9248,244.4765,204.7994,299.6974,321.2432,38340.0508,23120.0,0.3976
128,1.3541,0.3142,1.6683,0.0,1.458,385.5927,382.9241,244.2741,205.3559,299.6898,321.2358,38340.0703,23120.0,0.2103
129,1.1621,0.3911,1.5532,0.0,1.3585,384.9908,382.9234,244.0742,205.9236,299.6828,321.2337,38340.0703,23120.0,0.1947
130,1.1998,0.4152,1.615,0.0,1.3971,384.3899,382.9226,243.8695,206.4611,299.6747,321.2392,38340.0938,23120.0,0.2179
131,0.0,1.6935,1.6935,0.0,1.4264,383.7898,382.9212,243.5603,207.0862,299.6665,321.1892,38340.1875,23120.0,0.2671
132,1.6363,0.0067,1.643,0.0,1.3378,383.1907,382.9197,243.2377,207.6502,299.6562,321.1743,38340.2812,23120.0098,0.3052
133,0.0,1.5503,1.5503,0.0,1.2807,382.5926,382.9182,242.9005,208.3065,299.6486,321.1139,38340.375,23120.0273,0.2696
134,0.0687,1.5683,1.637,0.0,1.2656,381.9953,382.9168,242.5356,208.8197,299.6354,321.113,38340.4688,23120.0742,0.3714
135,3.9378,-1.9408,1.9969,0.4527,1.4951,381.6254,382.9606,242.3522,209.0979,299.6146,321.2092,38340.5625,23120.1211,0.5018
136,7.2865,-3.9547,3.3318,2.7515,2.7005,382.4047,383.2342,243.0885,209.1391,299.5862,321.4077,38340.6562,23120.168,0.6313
137,4.1733,-1.1176,3.0558,1.8626,2.2696,382.7385,383.419,243.4679,208.9497,299.5501,321.6641,38340.75,23120.2148,0.7861
138,0.0,1.8631,1.8631,0.0,1.4379,382.1411,383.4175,243.1022,209.4901,299.5378,321.5464,38340.8438,23120.2617,0.4253
