ts,xs
454,0.3335
455,0.01
456,0.0
457,0.0
458,5.7683
459,6.035
460,3.6365
461,4.5232
462,5.4635
463,4.3906
464,4.2989
465,0.0601
466,-0.3262
467,2.3439
468,4.3923
469,4.9669
470,9.0219
471,5.3765
472,0.1692
473,3.1577
474,3.7433
475,2.4673
476,3.8309
477,1.5657
478,1.8995
479,6.0747
480,8.828
481,8.3177
482,5.4561
483,4.8174
484,6.4719
485,8.0054
486,8.4492
487,9.2713
488,13.0013
489,12.5024
490,9.2311
491,9.4277
492,8.9631
493,10.4557
494,9.4407
495,8.7378
496,11.2159
497,9.5002
498,9.2194
499,12.325
500,14.1996
501,11.1693
502,9.7568
503,13.4653
504,18.5569
505,17.7353
506,10.2516
507,12.2807
508,14.5637
509,14.4855
510,12.6865
511,12.2315
512,10.16
513,12.1414
514,15.4903
515,10.6881
516,8.603
517,10.8371
518,11.746
519,13.2749
520,14.0578
521,17.242
522,16.6781
523,15.9066
524,18.5903
525,19.903
526,20.2257
527,20.4121
528,15.2161
529,12.6114
530,14.7965
531,14.0771
532,18.2472
533,16.4058
534,17.181
535,18.9863
536,14.382
537,16.792
538,15.6592
539,16.2774
540,15.3329
541,17.6772
542,15.9863
543,17.638
544,20.7853
545,19.1807
546,18.8087
547,18.0372
548,20.5154
549,22.6388
550,22.6093
551,20.541
552,21.5315
553,16.2255
554,18.8928
555,19.7079
556,18.1141
557,18.8997
558,20.6137
559,20.4566
560,20.4067
561,21.3813
562,19.8847
563,23.5772
564,20.9908
565,19.1459
566,19.4336
567,22.7162
568,21.0275
569,21.386
570,20.3711
571,19.5935
572,19.831
573,18.8121
574,19.0473
575,18.8927
576,21.1618
577,20.6126
578,19.2782
579,21.1386
580,19.999
581,18.3953
582,18.4419
583,16.5376
584,19.4636
585,17.401
586,17.9828
587,16.3106
588,15.1047
589,16.0149
590,16.347
591,17.4324
592,15.1796
593,16.6754
594,14.5457
595,12.9692
596,13.7775
597,12.9463
598,13.6029
599,15.2121
600,18.247
601,19.4176
602,20.4527
603,19.608
604,18.135
605,16.4062
606,16.8796
607,19.4682
608,19.2775
609,15.6341
610,15.5281
611,18.8988
612,18.8998
613,18.0259
614,15.46
615,13.0785
616,12.833
617,11.1789
618,12.4186
619,14.1899
620,16.7652
621,14.4035
622,11.7501
623,9.0072
